n_lines,mean_angle,std_angle,mean_abs_angle,mean_length,max_length,left_count,right_count,balance_lr,center_bottom,center_error,vanishing_x,vanishing_error,confidence,omega_true,oracle_confidence,frame_ts_ns
45.0,0.11548348117062003,0.5815633732507448,0.3743703526575223,89.69831848144531,273.1226806640625,20.0,25.0,0.1111111111111111,307.9117161716171,-0.03777588696369651,274.19195556640625,-0.14315013885498046,1.0,-0.051167501813163235,0.75,1779451115317607513
44.0,0.12498476851838439,0.5925987324166168,0.3872503234863134,91.57707977294922,288.9186706542969,21.0,23.0,0.045454545454545456,313.54255319148933,-0.020179521276595835,181.48077392578125,-0.4328725814819336,1.0,-0.047056539105770755,0.75,1779451115343881489
49.0,0.09978761640150223,0.5968341334584049,0.4032813667781671,87.11071014404297,273.1226806640625,26.0,23.0,-0.061224489795918366,309.06255686988175,-0.034179509781619544,275.0,-0.140625,1.0,-0.04737838980636934,0.75,1779451115375504390
44.0,0.09137914945986343,0.6016989339732288,0.39276472667762385,89.21198272705078,288.17529296875,26.0,18.0,-0.18181818181818182,312.0543845694969,-0.024830048220322178,381.05914306640625,0.19080982208251954,1.0,-0.044653682293126794,0.75,1779451115406791289
47.0,0.07479574991033432,0.6383822332170976,0.4275454387833822,91.62313842773438,314.1592102050781,24.0,23.0,-0.02127659574468085,314.43721231300344,-0.017383711521864242,370.5333251953125,0.15791664123535157,1.0,-0.055942298874797895,1.0,1779451115437834623
48.0,0.11164068136249765,0.6322733504207522,0.4241705586563526,89.3941650390625,311.3326110839844,22.0,26.0,0.08333333333333333,316.5128754940712,-0.010897264081027558,278.49322509765625,-0.1297086715698242,1.0,-0.04843778567397395,1.0,1779451115470545578
44.0,0.08787151921647399,0.6255657733730196,0.42620990565322897,99.78564453125,272.3912658691406,22.0,22.0,0.0,307.98950858388594,-0.03753278567535645,281.17626953125,-0.12132415771484376,1.0,-0.049403115250507855,0.75,1779451115503495670
45.0,0.059594975662945554,0.6005307823584424,0.3879807459838379,89.77799987792969,288.9186706542969,24.0,21.0,-0.06666666666666667,309.50507099391484,-0.03279665314401612,279.36834716796875,-0.12697391510009765,1.0,-0.046394883045051634,0.75,1779451115537596069
46.0,0.07122395052231412,0.6038023830459897,0.3964947871687803,93.48524475097656,286.7629699707031,21.0,25.0,0.08695652173913043,308.52173913043475,-0.035869565217391396,276.09197998046875,-0.13721256256103515,1.0,-0.04936748672508112,0.75,1779451115569986070
48.0,0.12662764545783292,0.5851763863086179,0.3986080911346266,86.19024658203125,288.17529296875,24.0,24.0,0.0,308.6641914191419,-0.03542440181518156,339.41455078125,0.06067047119140625,1.0,-0.04936748672508112,0.75,1779451115603043046
43.0,0.06261401732063451,0.5945796039934872,0.36950555994176465,87.77782440185547,272.3912658691406,21.0,22.0,0.023255813953488372,308.25,-0.03671875,417.85211181640625,0.3057878494262695,1.0,-0.046394883045051634,0.75,1779451115636481834
43.0,0.1355299438529779,0.5799149062470895,0.3712355507522671,89.32778930664062,273.1226806640625,19.0,24.0,0.11627906976744186,309.05,-0.034218749999999964,282.33782958984375,-0.11769428253173828,1.0,-0.046394883045051634,0.75,1779451115671513327
44.0,0.14439416785260936,0.6461972168580666,0.4415037242793268,98.42064666748047,310.6010437011719,20.0,24.0,0.09090909090909091,308.44612424409013,-0.036105861737218345,275.32000732421875,-0.1396249771118164,1.0,-0.05381978064453037,1.0,1779451115703415150
49.0,0.12819803324168833,0.6373847261073062,0.4344544156066961,89.98419189453125,288.17529296875,25.0,24.0,-0.02040816326530612,309.5176056338028,-0.0327574823943662,278.319091796875,-0.13025283813476562,1.0,-0.05114102397018623,1.0,1779451115735441133
49.0,0.12687788316657853,0.589403978465711,0.4003311908277494,85.83139038085938,286.7629699707031,24.0,25.0,0.02040816326530612,308.5564660691421,-0.03576104353393088,273.04412841796875,-0.14673709869384766,1.0,-0.06126100600509446,0.75,1779451115765958778
50.0,0.1232436370153168,0.6133389569364015,0.40507685855517184,80.66805267333984,314.1592102050781,26.0,24.0,-0.04,299.51869158878503,-0.06400408878504678,210.05172729492188,-0.34358835220336914,1.0,-0.05002672896979281,1.0,1779451115797589506
44.0,0.12949010207255338,0.6166041644234083,0.4323931943271839,96.05420684814453,287.50653076171875,21.0,23.0,0.045454545454545456,310.23494617295637,-0.030515793209511345,275.0,-0.140625,1.0,-0.04500223539294164,0.75,1779451115829541954
44.0,0.13054843865272556,0.5909821565601623,0.39717849903084895,91.27584838867188,273.1226806640625,22.0,22.0,0.0,308.95319148936164,-0.03452127659574487,182.55172729492188,-0.42952585220336914,1.0,-0.04519703026537092,0.75,1779451115862522482
46.0,0.15179459123286104,0.6145424361240365,0.4487852862779072,91.79174041748047,288.17529296875,23.0,23.0,0.0,308.6949541284404,-0.035328268348623834,313.8795166015625,-0.019126510620117186,1.0,-0.046394883045051634,0.75,1779451115896022217
43.0,0.06854815781116486,0.6155195236206055,0.4127965569496155,90.23734283447266,286.7629699707031,22.0,21.0,-0.023255813953488372,311.8891167517928,-0.025346510150647462,275.60675048828125,-0.13872890472412108,1.0,-0.05820919720709042,0.75,1779451115930985109
